trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
208,0,208,0,349.8631821000017,350.86354579997715,350.86354579997715,0,down,0,0.033464199979789555,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
209,0,209,0,350.91349499998614,351.91331879992504,351.91331879992504,-3,down,1,0.3721347999526188,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
210,0,210,0,352.31294570001774,353.31357609992847,353.31357609992847,0,down,0,0.06747200002428144,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
211,0,211,0,353.41325949993916,354.4132285999367,354.4132285999367,3,down,1,0.018317700014449656,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
212,0,212,0,354.4633872000268,355.4635295999469,355.4635295999469,4,up,0,0.16408679995220155,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
213,0,213,0,355.6465365999611,356.64661049994174,356.64661049994174,3,up,0,0.023167000035755336,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
214,0,214,0,356.69658430002164,357.6964925000211,357.6964925000211,-3,up,0,0.2908813999965787,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
215,0,215,0,358.0131721999496,359.01346659997944,359.01346659997944,0,up,1,0.0740918000228703,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
216,0,216,0,359.1131526000099,360.1134620999219,360.1134620999219,4,down,1,0.23138470004778355,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
217,0,217,0,360.362969800015,361.3632442000089,361.3632442000089,-1,down,1,0.12651530001312494,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
218,0,218,0,361.51315839996096,362.5133313999977,362.5133313999977,0,down,0,0.13617459998931736,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
219,0,219,0,362.6798527999781,363.68008760001976,363.68008760001976,0,up,1,0.45479420002084225,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
220,0,220,0,364.1630590999266,365.1634692000225,365.1634692000225,1,up,0,0.23787870001979172,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
